Type,Operator,Value
Subject,Contains,Auto reply
Subject,Contains,Automatic reply
Subject,Contains,Automatic-reply
Subject,Contains,Auto-reply
Subject,Contains,confidential
Subject,Contains,Out of office
Subject,Contains,Out-of-office
Subject,Contains,privileged
Subject,Contains,No reply
Subject,Contains,No-reply
Subject,Contains,Canceled
EmailAddress,EndsWith,@connectedcommunity.org
EmailAddress,Contains,accounting@
EmailAddress,Contains,accountsreceivable@
EmailAddress,Contains,admin@
EmailAddress,Contains,alumni@
EmailAddress,EndsWith,@americanbar.org
EmailAddress,Contains,annualgiving@
EmailAddress,Contains,birthdays@
EmailAddress,EndsWith,@cacd.uscourts.gov
EmailAddress,EndsWith,@cand.uscourts.gov
EmailAddress,Contains,ccsend
EmailAddress,Contains,communications@
EmailAddress,Contains,connect@
EmailAddress,Contains,contact@
EmailAddress,EndsWith,@courthousenews.com
EmailAddress,EndsWith,@courts.gov
EmailAddress,EndsWith,@courts.us
EmailAddress,EndsWith,@courts.us.gov
EmailAddress,Contains,customer
EmailAddress,Contains,customer_relations@
EmailAddress,Contains,customercare@
EmailAddress,Contains,customerservice@
EmailAddress,Contains,deals@
EmailAddress,Contains,development@
EmailAddress,Contains,digest@
EmailAddress,Contains,donate@
EmailAddress,Contains,donotreply@
EmailAddress,Contains,editor@
EmailAddress,Contains,email@
EmailAddress,Contains,e-updates@
EmailAddress,Contains,events@
EmailAddress,EndsWith,@facebook.com
EmailAddress,Contains,foundation@
EmailAddress,Contains,gifts@
EmailAddress,Contains,giving@
EmailAddress,Contains,hello@
EmailAddress,Contains,info@
EmailAddress,Contains,information@
EmailAddress,Contains,investorrelations@
EmailAddress,EndsWith,@law.gov
EmailAddress,EndsWith,@law.us
EmailAddress,Contains,leadership@
EmailAddress,EndsWith,@linkedin.com
EmailAddress,Contains,listings@
EmailAddress,Contains,lists@
EmailAddress,Contains,listserv@
EmailAddress,Contains,mail@
EmailAddress,Contains,marketing@
EmailAddress,Contains,media@
EmailAddress,Contains,memberservices@
EmailAddress,Contains,membership@
EmailAddress,Contains,news@
EmailAddress,Contains,newsletter@
EmailAddress,Contains,newsletters@
EmailAddress,Contains,noreply@
EmailAddress,Contains,no-reply@
EmailAddress,Contains,notification@
EmailAddress,EndsWith,@nysb.uscourts.gov
EmailAddress,Contains,order@
EmailAddress,Contains,orders@
EmailAddress,Contains,postmaster@
EmailAddress,Contains,publisher@
EmailAddress,Contains,receipt@
EmailAddress,Contains,receipts@
EmailAddress,Contains,reminder@
EmailAddress,Contains,reminders@
EmailAddress,Contains,reply@
EmailAddress,Contains,reservations@
EmailAddress,StartsWith,sales@
EmailAddress,Contains,seminars@
EmailAddress,Contains,service@
EmailAddress,Contains,staff@
EmailAddress,Contains,subscriptions@
EmailAddress,Contains,support@
EmailAddress,Contains,test@
EmailAddress,Contains,travel@
EmailAddress,Contains,unsubscribe@
EmailAddress,Contains,updates@
EmailAddress,EndsWith,@us.com
EmailAddress,EndsWith,@usa.gov
EmailAddress,EndsWith,@USCourts.gov
EmailAddress,StartsWith,web@
EmailAddress,Contains,webinars@
EmailAddress,Contains,webmaster@
EmailAddress,EndsWith,@aol.com
EmailAddress,EndsWith,@bellsouth.net
EmailAddress,EndsWith,@charter.net
EmailAddress,EndsWith,@comcast.net
EmailAddress,EndsWith,@cox.net
EmailAddress,EndsWith,@eaglecom.net
EmailAddress,EndsWith,@earthlink.net
EmailAddress,EndsWith,@gawab.com
EmailAddress,EndsWith,@gmail.com
EmailAddress,EndsWith,@gmx.com
EmailAddress,EndsWith,@googlemail.com
EmailAddress,EndsWith,@hotmail.co.uk
EmailAddress,EndsWith,@hotmail.com
EmailAddress,EndsWith,@live.com
EmailAddress,EndsWith,@mail.com
EmailAddress,EndsWith,@msn.com
EmailAddress,EndsWith,@netscape.net
EmailAddress,EndsWith,@netzero.net
EmailAddress,EndsWith,@optonline.net
EmailAddress,EndsWith,@rocketmail.com
EmailAddress,EndsWith,@rr.com
EmailAddress,EndsWith,@sbcglobal.net
EmailAddress,EndsWith,@verizon.net
EmailAddress,EndsWith,@yahoo.ca
EmailAddress,EndsWith,@yahoo.co.uk
EmailAddress,EndsWith,@yahoo.com
EmailAddress,EndsWith,@yahoo.de
EmailAddress,EndsWith,@ymail.com
EmailAddress,EndsWith,@att.net
EmailAddress,EndsWith,@me.com
EmailAddress,EndsWith,@outlook.com
EmailAddress,EndsWith,@icloud.com
EmailAddress,EndsWith,@nhs.net
EmailAddress,StartsWith,helpdesk@
EmailAddress,EndsWith,@maven-search.com
EmailAddress,EndsWith,@whitneygroup.com
EmailAddress,EndsWith,@ovationtravel.com
EmailAddress,Contains,@mac.com
