Type,Operator,Value
Subject,Contains,Auto reply
Subject,Contains,Automatic reply
Subject,Contains,Automatic-reply
Subject,Contains,Auto-reply
Subject,Contains,confidential
Subject,Contains,Out of office
Subject,Contains,Out-of-office
Subject,Contains,privileged
EmailAddress,Contains,@connectedcommunity.org
EmailAddress,Contains,accounting@
EmailAddress,Contains,accountsreceivable@
EmailAddress,Contains,admin@
EmailAddress,Contains,alumni@
EmailAddress,Contains,americanbar.org
EmailAddress,Contains,annualgiving@
EmailAddress,Equals,ar@
EmailAddress,Contains,birthdays@
EmailAddress,Contains,cacd.uscourts.gov
EmailAddress,Contains,cand.uscourts.gov
EmailAddress,Contains,ccsend
EmailAddress,Contains,communications@
EmailAddress,Contains,connect@
EmailAddress,Contains,contact@
EmailAddress,Contains,courthousenews.com
EmailAddress,Contains,courts.gov
EmailAddress,Contains,courts.us
EmailAddress,Contains,courts.us.gov
EmailAddress,Contains,customer
EmailAddress,Contains,customer_relations@
EmailAddress,Contains,customercare@
EmailAddress,Contains,customerservice@
EmailAddress,Contains,deals@
EmailAddress,Contains,development@
EmailAddress,Contains,digest@
EmailAddress,Contains,donate@
EmailAddress,Contains,donotreply@
EmailAddress,Contains,editor@
EmailAddress,Contains,email@
EmailAddress,Contains,e-updates@
EmailAddress,Contains,events@
EmailAddress,Contains,facebook.com
EmailAddress,Contains,foundation@
EmailAddress,Contains,gifts@
EmailAddress,Contains,giving@
EmailAddress,Contains,hello@
EmailAddress,Contains,info@
EmailAddress,Contains,information@
EmailAddress,Contains,investorrelations@
EmailAddress,Contains,law.gov
EmailAddress,Contains,law.us
EmailAddress,Contains,leadership@
EmailAddress,Contains,linkedin.com
EmailAddress,Contains,listings@
EmailAddress,Contains,lists@
EmailAddress,Contains,listserv@
EmailAddress,Contains,mail@
EmailAddress,Contains,marketing@
EmailAddress,Contains,media@
EmailAddress,Contains,memberservices@
EmailAddress,Contains,membership@
EmailAddress,Contains,news@
EmailAddress,Contains,newsletter@
EmailAddress,Contains,newsletters@
EmailAddress,Contains,noreply@
EmailAddress,Contains,no-reply@
EmailAddress,Contains,notification@
EmailAddress,Contains,nysb.uscourts.gov
EmailAddress,Contains,order@
EmailAddress,Contains,orders@
EmailAddress,Contains,postmaster@
EmailAddress,Contains,publisher@
EmailAddress,Contains,receipt@
EmailAddress,Contains,receipts@
EmailAddress,Contains,reminder@
EmailAddress,Contains,reminders@
EmailAddress,Contains,reply
EmailAddress,Contains,reservations@
EmailAddress,Contains,sales@
EmailAddress,Contains,seminars@
EmailAddress,Contains,service@
EmailAddress,Contains,shaw.ca
EmailAddress,Contains,staff@
EmailAddress,Contains,subscriptions@
EmailAddress,Contains,support@
EmailAddress,Contains,test@
EmailAddress,Contains,travel@
EmailAddress,Contains,twitter.com
EmailAddress,Contains,unsubscribe
EmailAddress,Contains,updates@
EmailAddress,StartsWith,us.com
EmailAddress,Contains,usa.gov
EmailAddress,Contains,USCourts.gov
EmailAddress,Contains,web@
EmailAddress,Contains,webinars@
EmailAddress,Contains,webmaster@
EmailAddress,Contains,mglconsulting.com
EmailAddress,Contains,irene.leung@eisneramper.com
EmailAddress,Contains,angela.teper@eisneramper.com
EmailAddress,Contains,alan.goldberg@eisneramper.com
